Digitizer,ID,Sex,Species,Island,Species#,friends,Ecomorph,SVLruler,Taillength,Footlamellae,Handlamellae,SVL1,SVL2,Humerus,Ulna,Forelimb,Femur,Tibia,Hindlimb,Pectoral,Pelvic,MBlength,Headlength,HeadDepth,Jawlength,EyeDiam,logSVL,logtail,logfootlamellae,loghandlamellae,logforelimb,loghindlimb,logpectoral,logpelvic,logheadlength,logheaddepth,logjawlength,logeyediamter
Debbie,evermanni-M-R148499,M,evermanni,Puerto Rico,10,8,TC,50.5,92,46,27,61.7867528,62.3220872,9.89451523,7.83265131,17.7271665,13.2974297,11.3290518,24.6264814,11.0906466,6.01076326,24.4282243,16.4220104,8.1644845,13.810804,4.66634091,1.70329138,1.96378783,1.66275783,1.43136376,1.24863932,1.39140237,1.04495687,0.77892962,1.21542632,0.91192877,1.14021896,0.66897646
Debbie,evermanni-M-R148500,M,evermanni,Puerto Rico,10,8,TC,57,101,41,26,63.9880593,65.696319,10.8499515,9.76858185,20.6185333,12.9922644,13.0840957,26.07636,11.7860122,8.92427437,27.319658,18.0710076,10.3367797,15.4245667,5.08004232,1.75587486,2.00432137,1.61278386,1.41497335,1.31425777,1.41624697,1.07136689,0.95057291,1.25698237,1.01438526,1.18821297,0.70586733
Lela,garmani-F-51875,F,garmani,Jamaica,7,7,CG,84,173,42,28,67.5489491,95.1959483,18.0939095,10.6897335,28.783643,16.3254403,16.1743424,32.4997827,12.4583638,9.67643718,35.1508669,25.8790061,,20.2147373,8.80363142,1.92427929,2.2380461,1.62324929,1.44715803,1.45914576,1.51188046,1.09546101,0.98571548,1.41294759,,1.3056681,0.94466185
Lela,garmani-F-51879,F,garmani,Jamaica,7,7,CG,82,176,43,26,64.3984207,97.4193567,18.9826396,8.01581543,26.9984551,19.6736433,14.4216065,34.0952498,12.1123535,10.8904267,34.9029445,21.9385407,,17.752934,6.56655189,1.91381385,2.24551267,1.63346846,1.41497335,1.43133891,1.53269388,1.08322854,1.0370449,1.34120774,,1.24927014,0.81733738
Lela,garmani-F-52295,F,garmani,Jamaica,7,7,CG,77,167,45,26,69.0447004,90.9254117,14.6152207,7.19827128,21.813492,20.6786152,15.0653065,35.7439217,10.0906261,13.6370464,31.707657,27.915745,9.19142288,22.3243184,5.34376098,1.88649073,2.22271647,1.65321251,1.41497335,1.33872519,1.5532022,1.00391811,1.13472032,1.44584922,0.96338275,1.34877821,0.72784702
Lela,garmani-F-52297,F,garmani,Jamaica,7,7,CG,79,166,44,26,63.3489879,93.8060915,17.786731,8.16886462,25.9555956,19.2154222,13.388651,32.6040731,9.23191934,8.13269003,32.7651579,17.5151467,7.94055296,13.2568198,7.45118255,1.89762709,2.22010809,1.64345268,1.41497335,1.414231,1.51327186,0.965292,0.91023422,1.24341378,0.89985075,1.12243935,0.8722252
Lela,garmani-F-73393,F,garmani,Jamaica,7,7,CG,85,170,46,28,70.3921737,91.5916885,21.0209111,9.22641248,30.2473235,14.7599527,16.2580132,31.0179659,12.2479683,13.2856681,33.3844894,25.9713953,,20.6898866,7.62140397,1.92941893,2.23044892,1.66275783,1.44715803,1.48068695,1.49161331,1.08806405,1.1233834,1.41449528,,1.31575811,0.88203498
Lela,garmani-M-183336,M,garmani,Jamaica,7,7,CG,84,181,49,28,89.4920633,98.3927063,15.4333689,11.8911623,27.3245312,18.9550898,18.0289745,36.9840643,13.2141173,12.3270219,32.2096225,29.2186458,,22.1497384,8.04551279,1.92427929,2.25767857,1.69019608,1.44715803,1.43655272,1.56801464,1.12103816,1.09085817,1.46566008,,1.3453686,0.90555373
Lela,garmani-M-73374,M,garmani,Jamaica,7,7,CG,89,178,46,31,92.2723641,100.103416,15.7929789,9.92438688,25.7173658,19.4707282,18.7013603,38.1720885,12.8976727,14.7430242,33.2970567,27.6384948,9.33039836,20.6470157,7.67175916,1.94939001,2.25042,1.66275783,1.49136169,1.41022648,1.58174592,1.11051135,1.16858658,1.44151439,0.96990019,1.31485729,0.88489496
Lela,garmani-M-73378,M,garmani,Jamaica,7,7,CG,110,243,49,28,102.897184,108.320099,19.4380506,14.5288729,33.9669235,18.3662495,22.9326711,41.2989206,17.6269732,14.8550489,41.3372924,36.634009,12.9216577,27.5722204,8.47936831,2.04139269,2.38560627,1.69019608,1.44715803,1.53105621,1.6159387,1.24617774,1.17187409,1.56388445,1.11131823,1.44047174,0.9283635
Lela,garmani-M-73389,M,garmani,Jamaica,7,7,CG,109,252,45,31,90.0634015,96.3257011,16.8508159,13.9100141,30.76083,22.6222308,21.5616956,44.1839264,15.1309948,14.3355098,41.1320623,31.5283778,15.3129438,21.6047755,9.34205648,2.0374265,2.40140054,1.65321251,1.49136169,1.48799805,1.64526431,1.17986748,1.15641314,1.49870163,1.18505869,1.33454976,0.97044249
Lela,garmani-M-73390,M,garmani,Jamaica,7,7,CG,118,262,45,33,116.948064,128.012111,19.0606122,15.2009763,34.2615885,24.8593357,22.7941538,47.6534896,18.9241805,,49.8582257,42.9802703,18.7360579,44.9820417,9.23158737,2.07188201,2.41830129,1.65321251,1.51851394,1.53480749,1.67809471,1.27701708,,1.63326914,1.27267822,1.65303916,0.96527638
Debbie,gingivinus-F-R127631,F,gingivinus,St. Maartin,2,2,,45,97,33,17,53.3245166,53.9249068,7.81472387,7.24672078,15.0614446,12.9586688,10.4544792,23.4131481,5.84324259,5.26104069,22.0688931,16.1183255,7.56381659,14.1140236,5.18954253,1.65321251,1.98677173,1.51851394,1.23044892,1.17786663,1.36945981,0.76665392,0.72107166,1.20731992,0.87874099,1.14965084,0.71512908
Debbie,gingivinus-F-R127636,F,gingivinus,St. Maartin,2,2,,43,90,33,18,51.6105177,52.0088058,7.18525522,7.72175836,14.9070136,12.6261659,10.9263858,23.5525516,6.96602971,6.80305603,20.5675378,14.5289416,7.84680291,12.8332799,4.05200977,1.63346846,1.95424251,1.51851394,1.25527251,1.17339065,1.37203796,0.84298532,0.83270405,1.16223398,0.89469274,1.10833767,0.60767048
Debbie,gingivinus-F-R127637,F,gingivinus,St. Maartin,2,2,,40,82,34,17,47.5040689,48.6709496,6.07609017,6.53137918,12.6074693,12.5476258,9.56192395,22.1095497,6.3988128,4.62826864,20.1843061,14.072415,6.80900646,12.3690415,4.11931272,1.60205999,1.91381385,1.53147892,1.23044892,1.10062792,1.3445799,0.8060994,0.66541856,1.14836864,0.83308375,1.09233605,0.61482476
Debbie,gingivinus-F-R127640,F,gingivinus,St. Maartin,2,2,,45.5,79,36,20,53.3442215,54.3481497,7.94604839,7.54116799,15.4872164,11.5680499,9.98291405,21.5509639,8.02144113,5.76011427,23.3888345,14.026808,6.76443789,12.4639617,4.70451789,1.6580114,1.89762709,1.5563025,1.30103,1.18997337,1.3334667,0.9042524,0.7604311,1.14695885,0.83023171,1.09565611,0.67251512
Debbie,gingivinus-F-R127641,F,gingivinus,St. Maartin,2,2,,40,82,31,20,47.4373598,48.1141698,6.59948761,5.97105217,12.5705398,10.8054185,9.99894912,20.8043677,5.01869581,,18.0045927,13.699896,6.31868035,12.2040562,4.21655681,1.60205999,1.91381385,1.49136169,1.30103,1.09935393,1.31815452,0.70059087,,1.13671727,0.80062639,1.0865042,0.62495796
