NEW,TX,Freeze,Bud,07/04/2017,10/04/2017,11/04/2017,13/04/2017,17/04/2017,24/04/2017,28/04/2017,01/05/2017,03/05/2017,06/05/2017,10/05/2017,13/05/2017,15/05/2017,19/05/2017,23/05/2017,25/05/2017,30/05/2017,01/06/2017,05/06/2017,08/06/2017,12/06/2017,15/06/2017,20/06/2017,25/06/2017,03/07/2017,07/07/2017,11/07/2017,14/07/2017,17/07/2017,26/07/2017,28/07/2017,01/08/2017,07/08/2017,14/08/2017
SAMRAC_G12,B,28/04/2017,Blue,10,10,,10,10,12,12,13,14,15,15,15,stem snapped,15,x,x,x,x,,,DONE!,,,,,,,,,,,,,
SAMRAC_G12,B,,Red,,,,,,,9,9,9,9,9,9,9,9,x,x,x,x,,,,,,,,,,,,,,,,
SAMRAC_G12,B,,Green,,,,,,,,9,9,9,9,9,9,9,9,9,15,15,15,15,,,,,,,,,,,,,,
SAMRAC_G12,B,,Black,,,,,9,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,
SAMRAC_G12,B,,Yellow,,,,,9,9,10,10,10,11,12,12,11,11,12,13,13,14,14,15,,,,,,,,,,,,,,
SAMRAC_G12,B,,White,,,,,9,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,
SAMRAC_G12,B,,Blue,,,,11,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,
SAMRAC_G13,B,10/04/2017,Blue,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,12,13,13,13,13,15,15,,,,,,,,,,,
SAMRAC_G13,B,06/05/2017,Red,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,,,,,,,,,,,
SAMRAC_G13,B,,Green,10,10,10,10,10,11,12,12,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,
SAMRAC_G13,B,,Black,,,,,,,9,11,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,
SAMRAC_G13,B,,Yellow,,,,,9,9,9,9,10,10,11,11,11,11,11,11,11,11,12,12,12,13,13,,,,,,,,,,,
SAMRAC_G13,B,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G14,B,17/04/2017,Yellow,9,10,,11,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,DONE!,DONE!,,,,,,,,,,,,,
SAMRAC_G14,B,,White,,9,,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,,,,,,,,,,,,,,,
SAMRAC_G14,B,,Blue,,,,9,9,,9,9,9,9,9,9,9,9,9,10,11,11,,,,,,,,,,,,,,,,
SAMRAC_G15,B,03/05/2017,Blue,9,9,,9,9,,9,9,9,9,9,9,9,9,9,10,11,11,11,12,DONE!,,,,,,,,,,,,,
SAMRAC_G15,B,,Red,,,,,,,9,9,9,9,9,9,11,15,15,15,15,15,15,15,,,,,,,,,,,,,,
SAMRAC_G15,B,,Green,9,9,,9,9,9,10,10,10,11,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,
SAMRAC_G15,B,,Black,,,,,9,9,9,11,14,15,15,15,15,15,15,15,10,10,10,10,,,,,,,,,,,,,,
SAMRAC_G15,B,,Yellow,,,,,9,9,11,12,14,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,
SAMRAC_G15,B,,White,,,,,,9,12,13,14,15,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,
SAMRAC_G15,B,,Blue,,,,,,,9,9,9,9,9,9,9,,,10,10,10,11,11,,,,,,,,,,,,,,
SAMRAC_G16,B,28/04/2017,Blue,9,10,,10,10,11,12,13,14,15,15,15,15,15,15,15,DONE!,,,,DONE!,,,,,,,,,,,,,
SAMRAC_G16,B,,Red,,,,,9,12,14,14,14,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
SAMRAC_G16,B,,Green,,,,,,,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,
SAMRAC_G16,B,,Black,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
SAMRAC_G16,B,,Yellow,,,,,,,9,9,9,9,9,9,9,9,10,10,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,28/04/2017,Blue,9,10,,9,9,9,9,10,10,10,10,10,10,10,14,15,DONE!,,,,DONE!,,,,,,,,,,,,,
SAMRAC_G17,B,,Red,,,,,,,,,9,10,11,12,12,15,15,15,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,,Green,,,,,,9,,,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,,Black,,,,,,13,14,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,,Yellow,,,,,,13,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,,White,,,,,,12,14,14,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,
SAMRAC_G18,B,30/05/2017,Blue,,,,,,,,9,9,9,9,9,9,9,9,9,10,10,13,14,15,,,,,,,,,,,,,
SAMRAC_G18,B,,Red,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,10,12,15,,,,,,,,,,,,,
SAMRAC_G18,B,,Green,,,,,,,,9,9,9,10,10,11,15,15,15,15,15,x,x,x,15,,,,,,,,,,,,
SAMRAC_G18,B,,Black,,,,,,,,,10,11,15,15,15,15,15,15,15,15,15,15,x,14,15,,,,,,,,,,,
SAMRAC_G18,B,,Yellow,,,,,,,,,9,9,9,9,9,9,10,10,10,10,10,11,12,14,15,,,,,,,,,,,
BETPAP_G01,A,,Blue,,,,,,,,,,,,,,,,,,,,,,,,9,14,,,,,,,,,
BETPAP_G01,A,,Red,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
BETPAP_G01,A,,Green,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,,,,
BETPAP_G01,A,,Green/Red,,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,,,,,,
BETPAP_G01,A,,Black,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,,,,
BETPAP_G01,A,,Yellow,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,,
BETPAP_G01,A,,White,,,,,,,,,,,,,,,,,,,,,,10,14,15,,,,,,,,,,
BETPAP_G01,A,,BU,,,,,,,,,,,,,,,,,,,,,,10,14,15,,,,,,,,,,
BETPAP_G01,A,,R,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,,,,
BETPAP_G01,A,,Y-BU,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
BETPAP_G01,A,,Y-R,,,,,,,,,,,,,,,,,,,,,,,,9,14,,,,,,,,,
BETPAP_G01,A,,Y-G,,,,,,,,,,,,,,,,,,,,,,,,9,15,,,,,,,,,
BETPAP_G01,A,,W-BU,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
BETPAP_G01,A,,W-R,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
BETPAP_G01,A,,W-G,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
BETPAP_G01,A,,W-B,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,,,,
BETPAP_G01,A,,BU-BU,,,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,,,,,
BETPAP_G01,A,,BU-R,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
BETPAP_G01,A,,BU-G,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,,
BETPAP_G01,A,,BU-B,,,,,,,,,,,,,,,,,,,,,,,11,15,,,,,,,,,,
BETPAP_G01,A,,BU-Y,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,,,,
BETPAP_G01,A,,R-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,,R-R,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
BETPAP_G01,A,,R-G,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
BETPAP_G01,A,,R-B,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
BETPAP_G01,A,,G-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,,G-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,,G-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,,BA-BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,,BA-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,,BA-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,,BA-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
